source_id,ll,bb,X_8.125,Y_8.125,X_8.50,Y_8.50,Vlsr
5524808881739948928, -97.35,  -0.60,  -1.78,   8.35,  -1.78,   8.73,  -9.55
5527367651456277632,-100.85,  -3.25,  -5.96,   9.27,  -5.96,   9.64,  51.13
5534229192433221888,-103.15,  -6.27,  -7.07,   9.78,  -7.07,  10.15,  91.55
5542208863718716160,-104.63,   1.05,  -6.17,   9.74,  -6.17,  10.11,  58.54
5543393724934095104,-105.62,   1.56,  -5.99,   9.80,  -5.99,  10.17,  77.52
5543871875055019904,-106.91,   2.58,  -4.41,   9.47,  -4.41,   9.84,  72.25
5587328285430238720,-108.67,  -5.41,  -7.15,  10.54,  -7.15,  10.91,  94.52
5595049846354172800,-112.41,  -3.70,  -2.96,   9.35,  -2.96,   9.72,  37.58
5597265018692339456,-113.84,  -0.55,  -3.23,   9.55,  -3.23,   9.93,  47.97
5599867524046406656,-115.84,  -2.02,  -6.03,  11.05,  -6.03,  11.42, 100.76
5600424568435410176,-114.56,  -0.15,  -2.92,   9.46,  -2.92,   9.84,  55.07
5600697693994005120,-115.30,  -0.02,  -4.82,  10.40,  -4.82,  10.78,  75.28
5600781669196873600,-115.91,  -0.23,  -3.78,   9.96,  -3.78,  10.34,  53.24
5615458534516990080,-120.17,  -0.71,  -1.89,   9.22,  -1.89,   9.60,  29.15
5711739915900045184,-120.52,   1.53,  -2.69,   9.71,  -2.69,  10.08,  53.83
5715894008269552256,-123.45,   3.66,  -2.76,   9.95,  -2.76,  10.32,  75.66
5833425410419444736, -37.33,  -4.56,  -3.45,   3.60,  -3.45,   3.98, -46.41
5848344340071286144, -47.69,  -6.29,  -1.96,   6.34,  -1.96,   6.72, -57.35
5854358084562346496, -46.16,  -0.85,  -2.71,   5.52,  -2.71,   5.90, -41.22
5854593380035364224, -46.13,  -0.35,  -2.06,   6.15,  -2.06,   6.52, -57.04
5860955601038152320, -59.81,  -3.04,  -4.46,   5.53,  -4.46,   5.90,  -9.40
5861283908366210560, -59.53,  -1.72,  -4.29,   5.60,  -4.29,   5.98, -32.94
5861680454098868352, -56.53,  -1.80,  -3.58,   5.76,  -3.58,   6.14, -49.99
5861881870851902336, -56.78,  -1.64,  -3.96,   5.53,  -3.96,   5.90, -35.76
5862196777871364864, -54.31,  -0.68,  -3.92,   5.31,  -3.92,   5.69, -47.62
5863183245917901696, -55.56,   0.16,  -2.77,   6.23,  -2.77,   6.60, -40.87
5864475515708195328, -50.25,  -1.36,  -3.39,   5.31,  -3.39,   5.68, -29.44
5864738951787181184, -49.95,  -0.53,  -3.43,   5.25,  -3.43,   5.62, -48.54
5865305956215451776, -52.76,  -0.42,  -2.72,   6.06,  -2.72,   6.43, -27.21
5865517646532509568, -50.70,  -0.41,  -2.79,   5.84,  -2.79,   6.22, -31.88
5865812521817886208, -50.67,   0.65,  -2.03,   6.46,  -2.03,   6.83, -48.76
5865836092600060160, -50.26,   0.75,  -2.28,   6.23,  -2.28,   6.61, -44.28
5866007307179926656, -48.70,  -0.76,  -2.61,   5.83,  -2.61,   6.21, -36.61
5866039296098829440, -49.18,  -0.66,  -2.77,   5.73,  -2.77,   6.10, -38.74
5866116021393055744, -48.11,  -0.69,  -1.81,   6.50,  -1.81,   6.88, -33.63
5866124714401925120, -47.90,  -0.59,  -2.38,   5.98,  -2.38,   6.35, -46.48
5866509955773366656, -47.49,  -0.26,  -2.54,   5.79,  -2.54,   6.17, -30.57
5866520676012501248, -47.69,  -0.23,  -2.57,   5.78,  -2.57,   6.16, -53.84
5868200592366262144, -53.64,  -0.48,  -3.66,   5.43,  -3.66,   5.80, -50.89
5868246290822187392, -53.23,  -0.06,  -2.36,   6.36,  -2.36,   6.74, -31.17
5874942660287999104, -42.00,  -1.54,  -2.16,   5.73,  -2.16,   6.10, -49.75
5877616019716579840, -44.81,  -1.05,  -3.18,   4.92,  -3.18,   5.30, -40.48
5877681371912839424, -43.94,  -1.19,  -2.40,   5.64,  -2.40,   6.01, -44.31
5877875607518745088, -42.88,  -1.41,  -2.61,   5.32,  -2.61,   5.69, -38.43
5878007102205861120, -42.34,  -1.11,  -2.81,   5.04,  -2.81,   5.41, -42.14
5878338879837883136, -45.27,  -1.02,  -2.52,   5.63,  -2.52,   6.00, -39.30
5879034458367098880, -42.79,   0.23,  -1.31,   6.71,  -1.31,   7.09, -56.77
5879867304058830464, -41.41,   0.66,  -1.87,   6.00,  -1.87,   6.38, -29.68
5890755802084623744, -45.08,   0.92,  -1.74,   6.39,  -1.74,   6.76, -36.44
5933396409209368832, -28.78,  -0.74,  -2.14,   4.23,  -2.14,   4.61, -53.86
5935203353473962880, -27.11,  -0.71,  -1.59,   5.02,  -1.59,   5.40, -56.82
5937064551844563968, -24.51,  -4.15,  -1.50,   4.84,  -1.50,   5.21, -74.41
5940806980134395392, -24.25,   0.08,  -1.10,   5.68,  -1.10,   6.06, -26.06
5942188997536594688, -22.91,   1.59,  -1.66,   4.19,  -1.66,   4.56,-103.61
5943316168746765184, -19.88,   0.66,  -1.47,   4.06,  -1.47,   4.44,   6.72
5944592839193672064, -20.29,   3.90,  -0.90,   5.70,  -0.90,   6.07, -32.88
5962100569010499712,  -9.07,  -2.78,  -0.21,   6.84,  -0.21,   7.21,  -0.99
5962732994401343360,  -7.14,  -2.50,  -0.32,   5.60,  -0.32,   5.97,   1.80
5964268702827222656, -19.54,   0.00,  -0.54,   6.60,  -0.54,   6.97, -32.21
5964431117003791488, -18.28,   0.13,  -1.01,   5.05,  -1.01,   5.43, -37.21
5965880827388192768, -15.48,  -1.01,  -0.94,   4.72,  -0.94,   5.09, -35.24
5966004453739464192, -14.71,  -0.93,  -0.69,   5.48,  -0.69,   5.85, -26.27
5966022458242541312, -14.59,  -0.71,  -0.77,   5.17,  -0.77,   5.55,   0.87
5966089665896907648, -14.12,  -0.41,  -0.86,   4.72,  -0.86,   5.10, -22.06
5966725595910464768, -15.30,   0.12,  -0.64,   5.78,  -0.64,   6.15, -32.32
5966849909449608832, -14.30,  -0.10,  -0.54,   6.01,  -0.54,   6.38, -31.50
5967379599197574784, -19.25,   0.95,  -1.13,   4.89,  -1.13,   5.26, -39.79
5967828268645475712, -18.25,   2.84,  -0.32,   7.17,  -0.32,   7.54,   0.38
5968422138052075392, -19.37,   2.77,  -0.60,   6.43,  -0.60,   6.80, -35.33
5970669441094966528, -16.03,   3.63,  -0.37,   6.84,  -0.37,   7.21,  -8.24
5972127118624062208, -13.53,  -0.44,  -0.66,   5.37,  -0.66,   5.74, -30.17
5972209440217581952, -12.51,  -0.80,  -0.54,   5.69,  -0.54,   6.07, -28.74
5972280912826925056, -12.33,  -0.30,  -0.56,   5.55,  -0.56,   5.92, -17.16
5972476896414276480, -11.29,  -1.83,  -0.59,   5.15,  -0.59,   5.52,  -3.61
5972719961547432320, -11.36,  -0.11,  -0.50,   5.66,  -0.50,   6.03, -14.05
5972939760763462912, -12.97,   0.11,  -0.62,   5.44,  -0.62,   5.82,  -4.17
5974423616111389952,  -8.99,  -0.58,  -0.46,   5.22,  -0.46,   5.60, -17.42
5974658915935001728,  -8.24,  -1.52,  -0.31,   6.00,  -0.31,   6.37,  -7.03
5975217257348541440,  -8.89,   0.25,  -0.33,   6.00,  -0.33,   6.38, -10.62
6040432182517332736, -14.35,  17.67,  -0.65,   5.59,  -0.65,   5.96,-101.98
6054621689344139008, -60.57,   0.02,  -3.22,   6.31,  -3.22,   6.68, -49.06
6416233334051468160, -37.67, -29.30,  -4.47,   2.34,  -4.47,   2.71,  65.70
6662929658466129920,  -8.80, -21.70,  -0.30,   6.16,  -0.30,   6.54,  25.27
6707397001081815680, -14.68, -12.40,  -0.56,   5.97,  -0.56,   6.35, -98.39
